time_grain,time_period,event_type,user_title,user_segment,total_events,unique_users,unique_firms,total_documents_processed,avg_documents_per_event,avg_satisfaction_score,high_satisfaction_events,high_volume_events,satisfaction_rate_pct,high_volume_rate_pct,documents_per_user,events_per_user,week_over_week_growth_pct,satisfaction_performance,volume_performance
daily,2024-04-09,ASSISTANT,Senior Associate,Long-term User,26,18,12,51,1.9615384615384615,3.8076923076923075,17,0,65.38,0.0,2.83,1.44,,,
daily,2024-04-09,VAULT,Associate,Long-term User,23,15,9,456,19.82608695652174,4.217391304347826,17,16,73.91,69.57,30.4,1.53,,,
daily,2024-04-09,VAULT,Junior Associate,Established User,1,1,1,12,12.0,4.0,1,1,100.0,100.0,12.0,1.0,,,
daily,2024-04-09,VAULT,Junior Associate,Long-term User,20,18,10,429,21.45,4.15,16,13,80.0,65.0,23.83,1.11,,,
daily,2024-04-09,VAULT,Partner,Long-term User,13,7,6,344,26.46153846153846,4.3076923076923075,12,11,92.31,84.62,49.14,1.86,,,
daily,2024-04-09,VAULT,Senior Associate,Long-term User,12,10,9,293,24.416666666666668,4.166666666666667,9,10,75.0,83.33,29.3,1.2,,,
daily,2024-04-09,WORKFLOW,Associate,Long-term User,15,14,10,17,1.1333333333333333,3.7333333333333334,11,0,73.33,0.0,1.21,1.07,,,
daily,2024-04-09,WORKFLOW,Junior Associate,Long-term User,35,27,15,60,1.7142857142857142,3.7714285714285714,25,1,71.43,2.86,2.22,1.3,,,
daily,2024-04-09,WORKFLOW,Partner,Long-term User,6,4,4,10,1.6666666666666667,4.666666666666667,6,0,100.0,0.0,2.5,1.5,,,
daily,2024-04-09,WORKFLOW,Senior Associate,Long-term User,17,13,11,23,1.3529411764705883,4.0,12,0,70.59,0.0,1.77,1.31,,,
daily,2024-04-10,ASSISTANT,Associate,Established User,1,1,1,1,1.0,4.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-10,ASSISTANT,Associate,Long-term User,40,27,12,81,2.025,3.975,29,1,72.5,2.5,3.0,1.48,,,
daily,2024-04-10,ASSISTANT,Junior Associate,Established User,5,4,2,5,1.0,4.4,5,0,100.0,0.0,1.25,1.25,,,
daily,2024-04-10,ASSISTANT,Junior Associate,Long-term User,50,29,15,103,2.06,3.9,33,3,66.0,6.0,3.55,1.72,,,
daily,2024-04-10,ASSISTANT,Partner,Long-term User,5,5,4,5,1.0,3.8,3,0,60.0,0.0,1.0,1.0,,,
daily,2024-04-10,ASSISTANT,Senior Associate,Established User,7,3,3,8,1.1428571428571428,3.857142857142857,5,0,71.43,0.0,2.67,2.33,,,
daily,2024-04-10,ASSISTANT,Senior Associate,Long-term User,23,18,13,32,1.391304347826087,4.173913043478261,17,0,73.91,0.0,1.78,1.28,,,
daily,2024-04-10,VAULT,Associate,Long-term User,19,14,10,428,22.526315789473685,4.052631578947368,15,14,78.95,73.68,30.57,1.36,,,
daily,2024-04-10,VAULT,Junior Associate,Established User,2,2,1,12,6.0,4.5,2,1,100.0,50.0,6.0,1.0,,,
daily,2024-04-10,VAULT,Junior Associate,Long-term User,38,29,13,782,20.57894736842105,4.157894736842105,33,27,86.84,71.05,26.97,1.31,,,
daily,2024-04-10,VAULT,Partner,Long-term User,6,5,5,117,19.5,4.333333333333333,5,5,83.33,83.33,23.4,1.2,,,
daily,2024-04-10,VAULT,Senior Associate,Established User,2,2,2,24,12.0,4.0,2,1,100.0,50.0,12.0,1.0,,,
daily,2024-04-10,VAULT,Senior Associate,Long-term User,11,9,8,289,26.272727272727273,3.5454545454545454,7,10,63.64,90.91,32.11,1.22,,,
daily,2024-04-10,WORKFLOW,Associate,Established User,1,1,1,1,1.0,3.0,0,0,0.0,0.0,1.0,1.0,,,
daily,2024-04-10,WORKFLOW,Associate,Long-term User,26,19,11,35,1.3461538461538463,4.423076923076923,23,0,88.46,0.0,1.84,1.37,,,
daily,2024-04-10,WORKFLOW,Junior Associate,Established User,5,2,2,11,2.2,4.6,5,0,100.0,0.0,5.5,2.5,,,
daily,2024-04-10,WORKFLOW,Junior Associate,Long-term User,26,22,11,38,1.4615384615384615,3.730769230769231,17,0,65.38,0.0,1.73,1.18,,,
daily,2024-04-10,WORKFLOW,Senior Associate,Established User,1,1,1,1,1.0,4.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-10,WORKFLOW,Senior Associate,Long-term User,14,13,8,17,1.2142857142857142,4.214285714285714,12,0,85.71,0.0,1.31,1.08,,,
daily,2024-04-11,ASSISTANT,Associate,Long-term User,34,21,12,116,3.411764705882353,4.117647058823529,27,3,79.41,8.82,5.52,1.62,,,
daily,2024-04-11,ASSISTANT,Junior Associate,Established User,6,4,2,9,1.5,4.666666666666667,6,0,100.0,0.0,2.25,1.5,,,
daily,2024-04-11,ASSISTANT,Junior Associate,Long-term User,65,47,16,109,1.676923076923077,4.246153846153846,57,2,87.69,3.08,2.32,1.38,,,
daily,2024-04-11,ASSISTANT,Partner,Long-term User,8,7,7,24,3.0,4.625,8,0,100.0,0.0,3.43,1.14,,,
daily,2024-04-11,ASSISTANT,Senior Associate,Long-term User,18,12,11,20,1.1111111111111112,4.111111111111111,16,0,88.89,0.0,1.67,1.5,,,
daily,2024-04-11,VAULT,Associate,Long-term User,20,14,9,505,25.25,3.8,13,16,65.0,80.0,36.07,1.43,,,
daily,2024-04-11,VAULT,Junior Associate,Established User,1,1,1,10,10.0,2.0,0,1,0.0,100.0,10.0,1.0,,,
daily,2024-04-11,VAULT,Junior Associate,Long-term User,32,27,15,773,24.15625,4.28125,26,25,81.25,78.12,28.63,1.19,,,
daily,2024-04-11,VAULT,Partner,Long-term User,5,5,4,52,10.4,3.6,3,2,60.0,40.0,10.4,1.0,,,
daily,2024-04-11,VAULT,Senior Associate,Long-term User,14,12,9,330,23.571428571428573,4.357142857142857,13,9,92.86,64.29,27.5,1.17,,,
daily,2024-04-11,WORKFLOW,Associate,Established User,1,1,1,1,1.0,2.0,0,0,0.0,0.0,1.0,1.0,,,
daily,2024-04-11,WORKFLOW,Associate,Long-term User,18,14,9,51,2.8333333333333335,4.166666666666667,14,1,77.78,5.56,3.64,1.29,,,
daily,2024-04-11,WORKFLOW,Junior Associate,Long-term User,32,28,13,51,1.59375,4.15625,26,1,81.25,3.12,1.82,1.14,,,
daily,2024-04-11,WORKFLOW,Partner,Long-term User,4,4,4,5,1.25,4.25,3,0,75.0,0.0,1.25,1.0,,,
daily,2024-04-11,WORKFLOW,Senior Associate,Established User,1,1,1,1,1.0,5.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-11,WORKFLOW,Senior Associate,Long-term User,11,9,6,19,1.7272727272727273,4.090909090909091,9,0,81.82,0.0,2.11,1.22,,,
daily,2024-04-12,ASSISTANT,Associate,Long-term User,43,27,18,54,1.255813953488372,4.0,32,0,74.42,0.0,2.0,1.59,,,
daily,2024-04-12,ASSISTANT,Junior Associate,Long-term User,51,31,11,101,1.9803921568627452,4.215686274509804,43,1,84.31,1.96,3.26,1.65,,,
daily,2024-04-12,ASSISTANT,Partner,Long-term User,6,2,2,19,3.1666666666666665,3.6666666666666665,4,1,66.67,16.67,9.5,3.0,,,
daily,2024-04-12,ASSISTANT,Senior Associate,Established User,2,1,1,2,1.0,4.5,2,0,100.0,0.0,2.0,2.0,,,
daily,2024-04-12,ASSISTANT,Senior Associate,Long-term User,18,14,11,24,1.3333333333333333,4.277777777777778,15,0,83.33,0.0,1.71,1.29,,,
daily,2024-04-12,VAULT,Associate,Long-term User,19,14,11,383,20.157894736842106,4.368421052631579,17,15,89.47,78.95,27.36,1.36,,,
daily,2024-04-12,VAULT,Junior Associate,Long-term User,32,22,13,809,25.28125,4.25,28,25,87.5,78.12,36.77,1.45,,,
daily,2024-04-12,VAULT,Partner,Long-term User,2,2,2,11,5.5,3.0,1,0,50.0,0.0,5.5,1.0,,,
daily,2024-04-12,VAULT,Senior Associate,Long-term User,8,6,5,188,23.5,4.125,7,7,87.5,87.5,31.33,1.33,,,
daily,2024-04-12,WORKFLOW,Associate,Long-term User,26,17,10,32,1.2307692307692308,3.8461538461538463,17,0,65.38,0.0,1.88,1.53,,,
daily,2024-04-12,WORKFLOW,Junior Associate,Established User,1,1,1,1,1.0,4.0,1,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-12,WORKFLOW,Junior Associate,Long-term User,31,26,9,85,2.7419354838709675,3.774193548387097,22,1,70.97,3.23,3.27,1.19,,,
daily,2024-04-12,WORKFLOW,Partner,Long-term User,3,3,3,3,1.0,4.666666666666667,3,0,100.0,0.0,1.0,1.0,,,
daily,2024-04-12,WORKFLOW,Senior Associate,Long-term User,5,4,4,12,2.4,4.8,5,0,100.0,0.0,3.0,1.25,,,
daily,2024-04-13,ASSISTANT,Associate,Long-term User,2,2,1,9,4.5,4.5,2,0,100.0,0.0,4.5,1.0,,,
daily,2024-04-13,ASSISTANT,Junior Associate,Established User,1,1,1,1,1.0,1.0,0,0,0.0,0.0,1.0,1.0,,,
daily,2024-04-13,ASSISTANT,Junior Associate,Long-term User,10,6,4,23,2.3,3.5,5,0,50.0,0.0,3.83,1.67,,,
daily,2024-04-13,ASSISTANT,Senior Associate,Long-term User,6,5,5,42,7.0,4.666666666666667,6,2,100.0,33.33,8.4,1.2,,,
daily,2024-04-13,VAULT,Associate,Long-term User,2,2,2,6,3.0,3.0,1,0,50.0,0.0,3.0,1.0,,,
daily,2024-04-13,VAULT,Junior Associate,Long-term User,6,4,3,200,33.333333333333336,3.6666666666666665,4,6,66.67,100.0,50.0,1.5,,,
daily,2024-04-13,VAULT,Partner,Long-term User,1,1,1,6,6.0,4.0,1,0,100.0,0.0,6.0,1.0,,,
daily,2024-04-13,VAULT,Senior Associate,Long-term User,1,1,1,32,32.0,3.0,0,1,0.0,100.0,32.0,1.0,,,
daily,2024-04-13,WORKFLOW,Associate,Long-term User,2,1,1,3,1.5,5.0,2,0,100.0,0.0,3.0,2.0,,,
daily,2024-04-13,WORKFLOW,Junior Associate,Established User,1,1,1,1,1.0,4.0,1,0,100.0,0.0,1.0,1.0,,,
