user_id,user_title,user_created_date,firm_id,firm_size,arr_in_thousands,acquisition_month,first_activity_date,days_to_first_activity,total_events,active_days,avg_satisfaction_score,total_documents_processed,is_activated,is_quick_start,is_monthly_activated,firm_size_category,arr_category,activation_category,satisfaction_category
ce964fce56c052a98dee122cb12e51d7,Senior Associate,2024-01-03,1080,140,120,2024-01,2024-06-23,172,4,3,3.25,4,1,0,0,Medium,Low Value,Delayed Activation,Low Satisfaction
4c8f5f6bc2973ba2ccec5c144365b99c,Junior Associate,2023-11-28,1222,80,80,2023-11,2024-06-24,209,4,2,3.5,70,1,0,0,Small,Minimal Value,Delayed Activation,Fair Satisfaction
84b60eee656234a22e813a45194525cd,Junior Associate,2023-07-20,101146,60,80,2023-07,2024-06-25,341,2,1,3.0,2,1,0,0,Small,Minimal Value,Delayed Activation,Low Satisfaction
be2ba620aeb42baf6366a0bacef3cbb3,Junior Associate,2024-01-02,1055,200,220,2024-01,2024-06-25,175,1,1,5.0,39,1,0,0,Large,Medium Value,Delayed Activation,High Satisfaction
a55325151862fef9f6d3ae0f90c46835,Partner,2023-08-06,1068,640,1000,2023-08,2024-05-31,299,5,3,4.2,10,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
de6472538ab32d29d359252d4e6b844c,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-06-24,323,7,2,4.285714285714286,94,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
cedfcb6382956fb2d6e4f094ae787fcd,Junior Associate,2023-12-31,1658,140,150,2023-12,2024-04-06,97,14,9,4.214285714285714,93,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
bd793f3b4d021c4183944e097550ba95,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-06-24,323,3,2,4.0,3,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
b089d09c36074be6a6a364ca4e94aabb,Junior Associate,2024-01-03,1080,140,120,2024-01,2024-05-02,120,11,8,3.909090909090909,126,1,0,0,Medium,Low Value,Delayed Activation,Fair Satisfaction
903c3977aa3f3463b2d15b51331f77ca,Junior Associate,2023-08-05,1673,140,150,2023-08,2024-05-02,271,5,3,4.6,54,1,0,0,Medium,Low Value,Delayed Activation,High Satisfaction
da04a13dcb048e98df4c1d0525e32c0d,Junior Associate,2023-08-05,101146,60,80,2023-08,2024-05-20,289,6,5,4.166666666666667,35,1,0,0,Small,Minimal Value,Delayed Activation,Good Satisfaction
d7283a0ca9545b58ad482d2196d85cfc,Associate,2023-11-21,1050,300,400,2023-11,2024-04-17,148,10,6,3.8,170,1,0,0,Large,Medium Value,Delayed Activation,Fair Satisfaction
efb20c5967407b65610bb3aa69834b18,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-04-25,263,4,4,4.0,40,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
e0fbcc92a84d55d4e3615d59f08f5608,Associate,2023-11-22,1037,180,200,2023-11,2024-04-03,133,24,10,4.416666666666667,145,1,0,0,Medium,Medium Value,Delayed Activation,Good Satisfaction
c8a06f5b1755447ae58a55ba29621e20,Associate,2024-01-26,101149,220,165,2024-01,2024-05-17,112,17,10,4.0,65,1,0,0,Large,Low Value,Delayed Activation,Good Satisfaction
75038119e28f55339da8811b36af0033,Associate,2023-11-21,1050,300,400,2023-11,2024-05-31,192,4,3,3.25,4,1,0,0,Large,Medium Value,Delayed Activation,Low Satisfaction
5eab149429cfcc2c265303358cfd9b20,Senior Associate,2024-01-02,1055,200,220,2024-01,2024-06-14,164,4,3,2.5,53,1,0,0,Large,Medium Value,Delayed Activation,Low Satisfaction
ab3eaff7aa3aa1ea874e1850a2b64493,Senior Associate,2023-11-21,1785,100,85,2023-11,2024-04-09,140,7,5,4.142857142857143,76,1,0,0,Medium,Minimal Value,Delayed Activation,Good Satisfaction
f7ffe8e547fc7cc070e1f9138d72b2d6,Partner,2023-11-21,1050,300,400,2023-11,2024-04-21,152,5,4,4.0,97,1,0,0,Large,Medium Value,Delayed Activation,Good Satisfaction
be02483b03ea0e17a985c3d08a5f9a46,Associate,2023-08-06,1068,640,1000,2023-08,2024-06-25,324,1,1,4.0,14,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
0843d78e7d5381269f010b1330575155,Senior Associate,2024-01-26,101149,220,165,2024-01,2024-06-24,150,3,2,4.333333333333333,3,1,0,0,Large,Low Value,Delayed Activation,Good Satisfaction
7669b7eec3a54a467d676f126909e916,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-05-06,274,4,4,4.0,51,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
a57b173ffe21ddd9873cc144ce8482f4,Junior Associate,2024-01-26,101149,220,165,2024-01,2024-05-24,119,8,4,4.125,25,1,0,0,Large,Low Value,Delayed Activation,Good Satisfaction
f93884e126f6addb3e62e4e7cf5acd3f,Partner,2023-08-06,1068,640,1000,2023-08,2024-04-17,255,9,7,4.444444444444445,87,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
f321a57fbf1a301bc5a3ac63d5e715d1,Junior Associate,2024-01-08,1787,110,80,2024-01,2024-06-03,147,3,2,3.3333333333333335,33,1,0,0,Medium,Minimal Value,Delayed Activation,Low Satisfaction
531aad38efb1bf746613d1f690e9e73f,Junior Associate,2023-08-05,1673,140,150,2023-08,2024-04-03,242,62,32,3.9838709677419355,484,1,0,0,Medium,Low Value,Delayed Activation,Fair Satisfaction
75fcb1edf82fd4aef3e831622e260597,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-06-25,324,1,1,4.0,5,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
4815cb674509cd152f571b186c2e9745,Junior Associate,2023-11-23,1072,70,50,2023-11,2024-04-24,153,7,5,4.714285714285714,34,1,0,0,Small,Minimal Value,Delayed Activation,High Satisfaction
88d2eb1128eaf7c6d98b98f1ef57ef66,Junior Associate,2023-11-28,1222,80,80,2023-11,2024-06-24,209,2,2,3.0,9,1,0,0,Small,Minimal Value,Delayed Activation,Low Satisfaction
4f6a61a136694f12f76fa2fd265416db,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-06-05,304,3,2,4.0,3,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
494060ebec061983244702d65166d1e6,Associate,2024-01-04,1063,160,170,2024-01,2024-05-02,119,14,8,4.142857142857143,91,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
d5570ec53c3634147e465800b4d49791,Senior Associate,2024-01-26,101149,220,165,2024-01,2024-06-25,151,1,1,4.0,28,1,0,0,Large,Low Value,Delayed Activation,Good Satisfaction
cead2450591f4e216730b34caf72f3d6,Associate,2024-01-05,1106,60,100,2024-01,2024-06-25,172,2,1,4.5,2,1,0,0,Small,Low Value,Delayed Activation,High Satisfaction
4a35368a9d96d7ac7da2bc99264d7273,Partner,2024-01-26,101149,220,165,2024-01,2024-06-25,151,1,1,5.0,1,1,0,0,Large,Low Value,Delayed Activation,High Satisfaction
7b2d5b52a25fdaf1dd9e68c7689baaad,Associate,2023-08-06,1068,640,1000,2023-08,2024-06-25,324,1,1,4.0,1,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
e98611b5055051ab0d7478743590197d,Junior Associate,2023-08-05,101146,60,80,2023-08,2024-06-13,313,7,4,4.285714285714286,7,1,0,0,Small,Minimal Value,Delayed Activation,Good Satisfaction
3a32534323892a257abb47c1c560d791,Partner,2023-11-21,1785,100,85,2023-11,2024-04-03,134,26,19,3.8846153846153846,159,1,0,0,Medium,Minimal Value,Delayed Activation,Fair Satisfaction
d65137d9d0ff9c7e764887997afe3f37,Junior Associate,2023-11-22,1037,180,200,2023-11,2024-06-25,216,1,1,5.0,1,1,0,0,Medium,Medium Value,Delayed Activation,High Satisfaction
c5942e2f861bd707951aec9292e904c5,Junior Associate,2023-11-23,101084,150,170,2023-11,2024-04-12,141,9,3,4.444444444444445,45,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
77cb4c9b5c00371c239a52b5880dfdfc,Partner,2023-08-06,1068,640,1000,2023-08,2024-06-13,312,10,5,4.3,150,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
0aab4d85c98cde6bd8264c17912c7c82,Junior Associate,2024-01-23,1076,80,65,2024-01,2024-04-04,72,3,3,4.666666666666667,3,1,0,0,Small,Minimal Value,Delayed Activation,High Satisfaction
b1b1ba20401c0e9ea906fd8943f92b3a,Junior Associate,2024-01-04,1063,160,170,2024-01,2024-05-13,130,9,6,3.5555555555555554,53,1,0,0,Medium,Low Value,Delayed Activation,Fair Satisfaction
52e4df40aa67d737a35b24b1a6b6c967,Junior Associate,2023-11-21,1050,300,400,2023-11,2024-04-09,140,25,14,4.2,230,1,0,0,Large,Medium Value,Delayed Activation,Good Satisfaction
96cb7953a723aeb0c0f6085d523299c3,Junior Associate,2023-11-23,1072,70,50,2023-11,2024-05-23,182,4,3,3.5,55,1,0,0,Small,Minimal Value,Delayed Activation,Fair Satisfaction
560f9deaef7617b73e94b7b7639409a5,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-04-15,253,3,3,3.3333333333333335,26,1,0,0,Enterprise,High Value,Delayed Activation,Low Satisfaction
cdb637444c7f94a3599c326b55822367,Senior Associate,2023-08-05,1738,200,200,2023-08,2024-04-23,262,52,16,4.461538461538462,296,1,0,0,Large,Medium Value,Delayed Activation,Good Satisfaction
938e3a726b1ef95fc533e001ccc4462c,Associate,2024-01-01,1073,60,110,2024-01,2024-05-06,126,17,12,4.294117647058823,121,1,0,0,Small,Low Value,Delayed Activation,Good Satisfaction
61303f3ba8617e3c2ffc07aa1c16c909,Associate,2023-08-05,1673,140,150,2023-08,2024-04-17,256,7,5,4.142857142857143,17,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
43b9687db2f35ed883e6e43e7a8997c8,Junior Associate,2023-11-03,1022,160,250,2023-11,2024-06-12,222,3,2,4.333333333333333,3,1,0,0,Medium,Medium Value,Delayed Activation,Good Satisfaction
6f80d115b919b29c49a1d3b8bd970552,Junior Associate,2023-11-30,1022,160,250,2023-11,2024-04-08,130,39,25,4.153846153846154,256,1,0,0,Medium,Medium Value,Delayed Activation,Good Satisfaction
d36369f48116b571bb628a067d703717,Senior Associate,2023-08-08,1024,130,170,2023-08,2024-06-25,322,1,1,3.0,1,1,0,0,Medium,Low Value,Delayed Activation,Low Satisfaction
52960cfe9fe70cfb5af26479074ce8e1,Partner,2023-07-24,1068,640,1000,2023-07,2024-06-13,325,2,2,3.5,32,1,0,0,Enterprise,High Value,Delayed Activation,Fair Satisfaction
f8bf74b199b77d0191177d9cfe57ae8f,Senior Associate,2024-01-05,1035,40,35,2024-01,2024-06-18,165,4,2,3.25,109,1,0,0,Small,Minimal Value,Delayed Activation,Low Satisfaction
bee7c28c0d84440c1b80522231b1b9e9,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-04-11,249,42,22,4.095238095238095,350,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
ca7aa5acc1a35d7f599e18a6f0684187,Senior Associate,2023-11-23,1072,70,50,2023-11,2024-05-17,176,7,4,3.857142857142857,21,1,0,0,Small,Minimal Value,Delayed Activation,Fair Satisfaction
637d288ef49d859f54bfb5481fa9a6cc,Junior Associate,2024-01-26,101149,220,165,2024-01,2024-06-24,150,2,2,4.5,5,1,0,0,Large,Low Value,Delayed Activation,High Satisfaction
e9f3c8a2bcf16854a6f2dc36d26998fa,Junior Associate,2023-07-20,1068,640,1000,2023-07,2024-04-15,270,2,2,4.5,2,1,0,0,Enterprise,High Value,Delayed Activation,High Satisfaction
b96a0ae23a29a94e5f0fcc79502e931f,Junior Associate,2023-11-28,1222,80,80,2023-11,2024-05-07,161,7,6,4.714285714285714,28,1,0,0,Small,Minimal Value,Delayed Activation,High Satisfaction
591dde25cff50af984dadabbf5f6ed2d,Associate,2024-01-06,1069,110,70,2024-01,2024-04-08,93,3,3,5.0,87,1,0,0,Medium,Minimal Value,Delayed Activation,High Satisfaction
d9c9c7d6749e119289ad5e549245e58d,Junior Associate,2024-01-01,1073,60,110,2024-01,2024-05-07,127,18,11,4.055555555555555,149,1,0,0,Small,Low Value,Delayed Activation,Good Satisfaction
437331e1130df778d5a43b8a1b4bd614,Junior Associate,2024-01-26,101149,220,165,2024-01,2024-06-25,151,3,1,4.0,3,1,0,0,Large,Low Value,Delayed Activation,Good Satisfaction
743995276568a0f1f472d7893b9b0c2a,Associate,2023-08-06,1068,640,1000,2023-08,2024-06-04,303,4,4,4.25,5,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
e6f610029a3b6f00da747974de143da1,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-04-18,256,3,3,3.6666666666666665,50,1,0,0,Enterprise,High Value,Delayed Activation,Fair Satisfaction
fbe092f4d964ad8fab697e62fc935894,Senior Associate,2024-01-29,1040,80,160,2024-01,2024-06-25,148,1,1,5.0,1,1,0,0,Small,Low Value,Delayed Activation,High Satisfaction
4d3fa8722bd0a2bc7709806c6a408906,Junior Associate,2023-11-28,1222,80,80,2023-11,2024-06-25,210,2,1,3.0,2,1,0,0,Small,Minimal Value,Delayed Activation,Low Satisfaction
5e8e67477fb194aad3cbf95ed1392522,Senior Associate,2024-01-04,1063,160,170,2024-01,2024-04-19,106,7,5,4.285714285714286,55,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
46f24f31d8679b1a919faf79acb541dd,Junior Associate,2024-01-03,1080,140,120,2024-01,2024-04-03,91,72,36,4.041666666666667,743,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
47f1bf09aadd86068841c17f549c978f,Associate,2023-08-05,1673,140,150,2023-08,2024-06-12,312,2,2,4.0,5,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
28529d9dd396634e1f159644ff938d34,Senior Associate,2024-01-08,1787,110,80,2024-01,2024-05-03,116,4,4,4.75,4,1,0,0,Medium,Minimal Value,Delayed Activation,High Satisfaction
34fbb92e293f687c4cfa8f8d5d317a45,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-06-25,324,1,1,5.0,3,1,0,0,Enterprise,High Value,Delayed Activation,High Satisfaction
1c8c44d4a949c3e6685b38044c5ace49,Senior Associate,2024-01-04,1063,160,170,2024-01,2024-06-25,173,1,1,4.0,12,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
6cae1febc4d93b6900f63253ebba99d7,Associate,2024-01-05,1106,60,100,2024-01,2024-05-30,146,5,4,3.8,12,1,0,0,Small,Low Value,Delayed Activation,Fair Satisfaction
464e7b8d40e753b8ec55070e7f1d65bf,Senior Associate,2023-08-05,1738,200,200,2023-08,2024-06-25,325,1,1,5.0,30,1,0,0,Large,Medium Value,Delayed Activation,High Satisfaction
15cf23ce4e2b230d31ea4faa303aeaa0,Senior Associate,2024-01-08,1787,110,80,2024-01,2024-05-08,121,19,13,4.315789473684211,117,1,0,0,Medium,Minimal Value,Delayed Activation,Good Satisfaction
15d11077720e1b0f9aa4bff1cab12994,Senior Associate,2023-11-14,1222,80,80,2023-11,2024-04-29,167,7,6,3.4285714285714284,10,1,0,0,Small,Minimal Value,Delayed Activation,Low Satisfaction
cc3aa87a815361da37ada44f865fdb1a,Partner,2023-12-31,1658,140,150,2023-12,2024-06-24,176,2,2,3.0,4,1,0,0,Medium,Low Value,Delayed Activation,Low Satisfaction
1a9a9f6db0bfa52789505547651af30c,Senior Associate,2023-08-06,1068,640,1000,2023-08,2024-06-19,318,2,2,4.0,2,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
ecc431f94ff4703bed03b7b39a08e6b0,Senior Associate,2023-08-08,1024,130,170,2023-08,2024-04-19,255,11,6,4.363636363636363,11,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
193d6a920e31584994b48d486eac1c43,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-06-20,319,2,2,4.5,2,1,0,0,Enterprise,High Value,Delayed Activation,High Satisfaction
9a07da85e0985ce6abc548a15c737b75,Senior Associate,2024-01-03,101141,150,170,2024-01,2024-06-05,154,7,5,4.0,139,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
3b25a27c09891ebc9d500cf106bc7ce5,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-04-08,246,19,10,3.8421052631578947,128,1,0,0,Enterprise,High Value,Delayed Activation,Fair Satisfaction
cd16d25f0e6d371c7b87a80f73b29129,Junior Associate,2024-01-06,1069,110,70,2024-01,2024-06-03,149,6,4,3.6666666666666665,35,1,0,0,Medium,Minimal Value,Delayed Activation,Fair Satisfaction
df3e48204c73cfbfe7d2d90abb899e5f,Junior Associate,2023-08-08,1024,130,170,2023-08,2024-04-29,265,13,7,4.0,214,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
09e93e38e3f08699e1dbd875d4409e80,Associate,2024-01-26,101149,220,165,2024-01,2024-06-25,151,4,1,3.5,39,1,0,0,Large,Low Value,Delayed Activation,Fair Satisfaction
4c2cc79866f4995b3d11a5e15c925f38,Associate,2023-11-30,1022,160,250,2023-11,2024-04-02,124,23,12,4.130434782608695,61,1,0,0,Medium,Medium Value,Delayed Activation,Good Satisfaction
357bd7b1dbb9382a148459c1e8339dd8,Senior Associate,2024-01-26,101149,220,165,2024-01,2024-05-15,110,47,17,3.9574468085106385,546,1,0,0,Large,Low Value,Delayed Activation,Fair Satisfaction
cfcd2abd9c0f3749b0446c60ad6716da,Junior Associate,2023-11-21,1050,300,400,2023-11,2024-04-12,143,5,4,4.0,14,1,0,0,Large,Medium Value,Delayed Activation,Good Satisfaction
463c8576011625dadee7c418e8b5d8e3,Associate,2024-01-26,101149,220,165,2024-01,2024-06-25,151,1,1,5.0,10,1,0,0,Large,Low Value,Delayed Activation,High Satisfaction
5456f00adc56009f428c33bd5735852b,Senior Associate,2024-01-03,101141,150,170,2024-01,2024-06-25,174,1,1,3.0,1,1,0,0,Medium,Low Value,Delayed Activation,Low Satisfaction
77b05bdbb785ca2c1caf9de837737ad0,Associate,2023-08-06,1068,640,1000,2023-08,2024-06-25,324,1,1,3.0,1,1,0,0,Enterprise,High Value,Delayed Activation,Low Satisfaction
596e24b30e10515a7e0b5dfc21ab1ac9,Senior Associate,2024-01-04,1063,160,170,2024-01,2024-05-17,134,14,6,4.357142857142857,161,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
98c57243d3e905ec1031ebc7412d3153,Senior Associate,2024-01-04,1063,160,170,2024-01,2024-06-25,173,1,1,4.0,14,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
c0c6b916ddf2a4156720591596cc8d14,Associate,2023-12-31,1658,140,150,2023-12,2024-05-21,142,2,2,4.0,17,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
7155063a46663620852973ebe53b20ee,Partner,2024-01-01,1073,60,110,2024-01,2024-05-14,134,5,4,4.2,51,1,0,0,Small,Low Value,Delayed Activation,Good Satisfaction
8e624ac05e7c9e83c994b6d8fac3631a,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-04-29,267,2,2,4.5,69,1,0,0,Enterprise,High Value,Delayed Activation,High Satisfaction
92af4b490b414b58c7de9c868923606e,Junior Associate,2023-11-21,1050,300,400,2023-11,2024-06-25,217,1,1,4.0,1,1,0,0,Large,Medium Value,Delayed Activation,Good Satisfaction
25b80aa97db73d0391e97d94c8ebc889,Partner,2023-12-31,1658,140,150,2023-12,2024-05-27,148,5,4,4.2,11,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
1998ac3cf2940a605a6a57d536ded1a2,Junior Associate,2024-01-01,1073,60,110,2024-01,2024-06-19,170,5,3,3.6,57,1,0,0,Small,Low Value,Delayed Activation,Fair Satisfaction
74ef025650680cc2ad32ea13f753bde1,Associate,2024-01-26,101149,220,165,2024-01,2024-06-25,151,2,1,4.5,2,1,0,0,Large,Low Value,Delayed Activation,High Satisfaction
a281f1478936993093dace1c989b052c,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-04-18,256,13,8,4.076923076923077,111,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
7c0e4892fdda1eff786c2ec6beee2425,Junior Associate,2023-08-08,1024,130,170,2023-08,2024-06-25,322,3,1,3.3333333333333335,44,1,0,0,Medium,Low Value,Delayed Activation,Low Satisfaction
89b7a7fb50ebab6f3d633efd626990f3,Junior Associate,2023-11-22,1037,180,200,2023-11,2024-04-02,132,66,24,4.015151515151516,562,1,0,0,Medium,Medium Value,Delayed Activation,Good Satisfaction
d0a76cc99c057e627035dc024bc599ea,Associate,2023-08-06,1068,640,1000,2023-08,2024-04-21,259,69,32,4.246376811594203,709,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
b9d2f3c7adfa413814f0d360602b7630,Senior Associate,2024-01-04,1063,160,170,2024-01,2024-05-01,118,17,13,4.176470588235294,139,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
3d2539757d999c72a970e453020008b0,Senior Associate,2023-11-23,101084,150,170,2023-11,2024-04-10,139,18,11,4.222222222222222,249,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
31661052a9923002bfbd3a817f93a203,Senior Associate,2024-01-03,1065,70,80,2024-01,2024-04-16,104,8,7,3.375,72,1,0,0,Small,Minimal Value,Delayed Activation,Low Satisfaction
786c24f8f7c41d3fffd79199a37e695f,Associate,2023-08-06,1068,640,1000,2023-08,2024-04-10,248,10,8,4.2,104,1,0,0,Enterprise,High Value,Delayed Activation,Good Satisfaction
5a81ba488d82fb2bc27f002fdd1b1be8,Junior Associate,2024-01-26,101149,220,165,2024-01,2024-06-25,151,2,1,4.0,46,1,0,0,Large,Low Value,Delayed Activation,Good Satisfaction
4e6ef4aa285c883c16b563684d669b87,Junior Associate,2023-11-10,1022,160,250,2023-11,2024-05-21,193,25,13,4.16,192,1,0,0,Medium,Medium Value,Delayed Activation,Good Satisfaction
c2531af670e8d514b29e0c226acbd248,Partner,2024-01-26,101149,220,165,2024-01,2024-06-25,151,1,1,4.0,2,1,0,0,Large,Low Value,Delayed Activation,Good Satisfaction
9ed70df77ab904174eeea2ed6d4d6efd,Junior Associate,2024-01-26,101149,220,165,2024-01,2024-06-25,151,2,1,4.0,19,1,0,0,Large,Low Value,Delayed Activation,Good Satisfaction
1e5cdd2ce85dc3fa101f577e645a9434,Junior Associate,2023-08-05,1738,200,200,2023-08,2024-04-15,254,10,7,4.4,100,1,0,0,Large,Medium Value,Delayed Activation,Good Satisfaction
ad835f2a7a8d1397d9796e3e3746bbce,Junior Associate,2024-01-04,1063,160,170,2024-01,2024-06-25,173,1,1,4.0,1,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
b335d427f1da1094b92350e510df1479,Associate,2024-01-26,101149,220,165,2024-01,2024-06-25,151,3,1,4.0,110,1,0,0,Large,Low Value,Delayed Activation,Good Satisfaction
7ee5fc9e44cf1184cde6724c8e41cf79,Junior Associate,2023-08-06,1068,640,1000,2023-08,2024-06-25,324,1,1,5.0,1,1,0,0,Enterprise,High Value,Delayed Activation,High Satisfaction
1b1a2346e1650f0a153062fe996d4683,Senior Associate,2024-01-26,101149,220,165,2024-01,2024-06-25,151,1,1,5.0,1,1,0,0,Large,Low Value,Delayed Activation,High Satisfaction
e884a0b688c90141d16fe82bf3fc67da,Junior Associate,2024-01-26,101149,220,165,2024-01,2024-05-13,108,20,10,4.05,85,1,0,0,Large,Low Value,Delayed Activation,Good Satisfaction
65b7c5f67fd7d18f6b35816777ecc269,Associate,2023-11-22,1037,180,200,2023-11,2024-04-04,134,64,28,4.171875,355,1,0,0,Medium,Medium Value,Delayed Activation,Good Satisfaction
5b314bdc796a635e191e6bc5dd61d4e2,Associate,2023-11-22,1037,180,200,2023-11,2024-04-02,132,14,9,4.357142857142857,100,1,0,0,Medium,Medium Value,Delayed Activation,Good Satisfaction
4602cd6c7fb1f46148eabf0ad0be8cd6,Junior Associate,2023-12-31,1658,140,150,2023-12,2024-05-13,134,7,5,4.0,85,1,0,0,Medium,Low Value,Delayed Activation,Good Satisfaction
6675d57a4ba08c161c17c084232320fa,Partner,2024-01-26,101149,220,165,2024-01,2024-06-24,150,5,2,4.6,12,1,0,0,Large,Low Value,Delayed Activation,High Satisfaction
6f89c8e5a182a3f92f6f5272e6fb3a2e,Associate,2023-08-06,1068,640,1000,2023-08,2024-04-16,254,23,12,3.9565217391304346,151,1,0,0,Enterprise,High Value,Delayed Activation,Fair Satisfaction
6bf43ecdd83cda5465169b03c4315ac4,Senior Associate,2024-01-26,101149,220,165,2024-01,2024-06-25,151,1,1,2.0,1,1,0,0,Large,Low Value,Delayed Activation,Low Satisfaction
